gid,objeto,geom,fna,gna,nam,in1,tgl,cod_tgl,nam_prov,cod_prov,fdc,sag
133,Gobierno local,MULTIPOINT(-70.8529129099028 -44.6876393504756),Comuna Aldea Apeleg,Comuna,Aldea Apeleg,268140,Comuna Rural,CR,Chubut,26,BAHRA,IGN
134,Gobierno local,MULTIPOINT(-71.5226366679478 -45.55326820976),Comuna Aldea Beleiro,Comuna,Aldea Beleiro,268091,Comuna Rural,CR,Chubut,26,BAHRA,IGN
135,Gobierno local,MULTIPOINT(-70.8233836030708 -45.0418822729485),Municipio Alto Río Senguer,Municipio,Alto Río Senguer,260126,Municipio,M2,Chubut,26,BAHRA,IGN
136,Gobierno local,MULTIPOINT(-71.0350530148847 -45.5756640608477),Comuna Doctor Ricardo Rojas,Comuna,Doctor Ricardo Rojas,268098,Comuna Rural,CR,Chubut,26,BAHRA,IGN
137,Gobierno local,MULTIPOINT(-69.9748624904116 -45.3086428834623),Comuna Facundo,Comuna,Facundo,268105,Comuna Rural,CR,Chubut,26,BAHRA,IGN
138,Gobierno local,MULTIPOINT(-71.268242948753 -45.9369835434557),Comuna Lago Blanco,Comuna,Lago Blanco,268112,Comuna Rural,CR,Chubut,26,BAHRA,IGN
139,Gobierno local,MULTIPOINT(-70.2566379578754 -45.6861769977702),Municipio Río Mayo,Municipio,Río Mayo,260133,Municipio,M2,Chubut,26,BAHRA,IGN
140,Gobierno local,MULTIPOINT(-69.4588985691136 -45.0761333496743),Comuna Buen Pasto,Comuna,Buen Pasto,268119,Comuna Rural,CR,Chubut,26,BAHRA,IGN
141,Gobierno local,MULTIPOINT(-69.0689409610565 -45.5868679093265),Municipio Sarmiento,Municipio,Sarmiento,260140,Municipio,M1,Chubut,26,BAHRA,IGN
142,Gobierno local,MULTIPOINT(-71.6642206833378 -44.1913673345348),Comuna Dr. Atilio Oscar Viglione,Comuna,Dr. Atilio Oscar Viglione,268147,Comuna Rural,CR,Chubut,26,BAHRA,IGN
143,Gobierno local,MULTIPOINT(-70.5990240934871 -44.0487066292075),Municipio Gobernador Costa,Municipio,Gobernador Costa,260147,Municipio,M2,Chubut,26,BAHRA,IGN
144,Gobierno local,MULTIPOINT(-70.4707413515321 -44.051465313973),Municipio José de San Martín,Municipio,José de San Martín,260154,Municipio,M2,Chubut,26,BAHRA,IGN
145,Gobierno local,MULTIPOINT(-71.3683181075946 -44.1793548777254),Municipio Río Pico,Municipio,Río Pico,260161,Municipio,M2,Chubut,26,BAHRA,IGN
